S_1,S_2,SF_1,SF_2,LF_1,LF_2,SB_1,SB_2,LB_1,LB_2,CB_1,CB_2,E/N_1,E/N_2,P_1,P_2
0.00,0.00,0.00,0.56,0.00,0.08,0.00,0.20,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.68,0.00,0.12,0.00,0.16,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.3158,0.00,0.0526,0.00,0.4737,0.00,0.00,0.00,0.0526,0.00,0.1053
0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.375,0.00,0.00,0.00,0.00,0.00,0.0625,0.0625
0.00,0.00,0.00,0.00,0.00,0.2813,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.0625,0.1563
0.00,0.00,0.00,0.00,0.125,0.00,0.00,0.00,0.75,0.00,0.00,0.00,0.00,0.00,0.075,0.05
0.00,0.00,0.00,0.50,0.00,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.3333,0.00,0.1667,0.00,0.00,0.00,0.3333,0.00,0.00,0.00,0.00,0.00,0.00,0.1667
0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.35,0.00,0.00,0.00,0.00,0.0167,0.2833
0.00,0.00,0.00,0.00,0.383,0.00,0.00,0.00,0.3962,0.00,0.0755,0.00,0.00,0.00,0.1698,0.0755
0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.25
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
