S_1,S_2,SF_1,SF_2,LF_1,LF_2,SB_1,SB_2,LB_1,LB_2,CB_1,CB_2,E/N_1,E/N_2,P_1,P_2
0.00,0.00,56.00,0.00,8.00,0.00,20.00,0.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,68.00,0.00,12.00,0.00,16.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,31.58,0.00,0.00,0.00,5.26,0.00,47.37,0.00,0.00,0.00,0.00,0.00,0.00,10.53
0.00,0.00,0.00,0.00,28.13,0.00,0.00,0.00,37.50,0.00,0.00,0.00,0.00,0.00,6.25,6.25
0.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50
0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.25,15.63
0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,16.67
0.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.30,0.00,0.00,0.00,0.00,0.00,16.98,7.55
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.62,0.00,0.00,0.00,0.00,0.00,0.00,25.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,25.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
